"('NC', 'CC', 'NC')",77013
"('ADJ', 'CC', 'ADJ')",56025
"('DET', 'NC', 'CC', 'DET', 'NC')",87852
"('P', 'NC', 'CC', 'P', 'NC')",37442
"('VPP', 'CC', 'VPP')",10313
"('V', 'CC', 'V')",6251
